country,region,ewaste_mill_kg,ewaste_kg_capita,collected_recycled_mill_kg,national_policy,epr,collection_target,recycling_target,country_short,income,policy_level
Serbia,Europe,81,11.1,31.2,TRUE,TRUE,TRUE,FALSE,Serbia,middle,3
Seychelles,Africa,1,13.5,NA,FALSE,FALSE,FALSE,FALSE,Seychelles,high,0
Sierra Leone,Africa,6,0.7,NA,FALSE,FALSE,FALSE,FALSE,Sierra Leone,low,0
Singapore,Asia,121,20.3,NA,TRUE,FALSE,TRUE,FALSE,Singapore,high,2
Slovakia,Europe,84,15.4,47.3,TRUE,TRUE,TRUE,TRUE,Slovakia,high,4
Slovenia,Europe,36,17,15.1,TRUE,TRUE,TRUE,TRUE,Slovenia,high,4
Solomon Is.,Oceania,1,1.1,NA,FALSE,FALSE,FALSE,FALSE,Solomon Is.,middle,0
Somalia,Africa,9,0.5,NA,FALSE,FALSE,FALSE,FALSE,Somalia,low,0
South Africa,Africa,527,8.8,22.9,TRUE,TRUE,FALSE,FALSE,South Africa,middle,2
S. Sudan,Africa,15,1.4,NA,FALSE,FALSE,FALSE,FALSE,S. Sudan,low,0
Spain,Europe,935,19.6,395.2,TRUE,TRUE,TRUE,TRUE,Spain,high,4
Sri Lanka,Asia,175,8,NA,FALSE,FALSE,FALSE,FALSE,Sri Lanka,middle,0
Sudan,Africa,103,2.2,NA,FALSE,FALSE,FALSE,FALSE,Sudan,low,0
Suriname,Americas,7,11.1,NA,FALSE,FALSE,FALSE,FALSE,Suriname,middle,0
eSwatini,Africa,7,6.2,NA,FALSE,FALSE,FALSE,FALSE,eSwatini,middle,0
Sweden,Europe,221,21,151.2,TRUE,TRUE,TRUE,TRUE,Sweden,high,4
Switzerland,Europe,204,23.4,129,TRUE,TRUE,TRUE,TRUE,Switzerland,high,4
Syria,Asia,121,5.6,NA,FALSE,FALSE,FALSE,FALSE,Syria,low,0
Taiwan,Asia,463,19.4,145.4,FALSE,FALSE,FALSE,FALSE,Taiwan,high,0
Tajikistan,Asia,12,1.2,0.11,FALSE,FALSE,FALSE,FALSE,Tajikistan,middle,0
Thailand,Asia,753,10.5,29,FALSE,FALSE,FALSE,FALSE,Thailand,middle,0
Macedonia,Europe,21,10,3.4,TRUE,TRUE,TRUE,FALSE,Macedonia,middle,3
Timor-Leste,Asia,2,1.6,NA,FALSE,FALSE,FALSE,FALSE,Timor-Leste,middle,0
Togo,Africa,8,0.9,NA,FALSE,FALSE,FALSE,FALSE,Togo,low,0
Tonga,Oceania,0,4,NA,FALSE,FALSE,FALSE,FALSE,Tonga,middle,0
Trinidad and Tobago,Americas,24,15.4,NA,FALSE,FALSE,FALSE,FALSE,Trin. & Tob.,high,0
Tunisia,Africa,85,6.9,NA,FALSE,FALSE,FALSE,FALSE,Tunisia,middle,0
Turkey,Asia,1077,12.7,186.9,TRUE,TRUE,TRUE,TRUE,Turkey,middle,4
Turkmenistan,Asia,46,7.1,NA,FALSE,FALSE,FALSE,FALSE,Turkmenistan,middle,0
Tuvalu,Oceania,0,2.4,NA,FALSE,FALSE,FALSE,FALSE,Tuvalu,middle,0
Uganda,Africa,41,0.9,0.2,TRUE,FALSE,FALSE,FALSE,Uganda,low,1
Ukraine,Europe,385,8.9,31.2,TRUE,FALSE,FALSE,FALSE,Ukraine,middle,1
United Arab Emirates,Asia,178,18.9,5.4,TRUE,TRUE,FALSE,FALSE,UAE,high,2
United Kingdom,Europe,1652,24.5,501.9,TRUE,TRUE,TRUE,TRUE,UK,high,4
Tanzania,Africa,61,0.9,NA,TRUE,TRUE,FALSE,FALSE,Tanzania,middle,2
United States of America,Americas,7188,21.3,4052.8,TRUE,FALSE,FALSE,FALSE,USA,high,1
Uruguay,Americas,44,12.9,1.3,FALSE,FALSE,FALSE,FALSE,Uruguay,high,0
Uzbekistan,Asia,128,3.7,NA,FALSE,FALSE,FALSE,FALSE,Uzbekistan,middle,0
Vanuatu,Oceania,0,1.2,NA,FALSE,FALSE,FALSE,FALSE,Vanuatu,middle,0
Venezuela,Americas,303,10.8,1,FALSE,FALSE,FALSE,FALSE,Venezuela,NA,0
Vietnam,Asia,516,5.3,NA,TRUE,TRUE,FALSE,FALSE,Vietnam,middle,2
Yemen,Asia,49,1.5,NA,FALSE,FALSE,FALSE,FALSE,Yemen,low,0
Zambia,Africa,23,1.1,NA,TRUE,TRUE,FALSE,FALSE,Zambia,middle,2
Zimbabwe,Africa,17,1.1,0.03,FALSE,FALSE,FALSE,FALSE,Zimbabwe,middle,0
